[1],[2],Name,alternative Namen,Staat(en),Fläche [km²],Volu­men [km³],Tiefe [m],Tiefe [m],Anmerkungen / Fluss
90,O25,Werchneje Kuito,"Верхнее Куйто, Ylä-Kuittijärvi",Russland,198,15,44,76,
91,,Enonvesi,,Finnland,197,148,468,71,Im Saimaa-Seensystem
92,N30,Konnevesi,,Finnland,189,20,571,101,
93,N31,Kiantajärvi,,Finnland,188,139,43,74,
94,O26,Ondosero,Ontajärvi,Russland,182,06,8,33,
95,N32,Lough Corrib,,Irland,176,114,509,65,Größter in Irland
96,O27,Janisjarwi,Jänisjärvi,Russland,175,20,57,116,Liegt in einem Einschlagkrater
97,N33,Bolmen,,Schweden,173,107,37,62,
98,N34,Storuman,,Schweden,171,419,122,245,
99,S06,Mar Menor,,Spanien,170,06,7,4,"Salzsee, größter See in Spanien"
100,N35,Nilakka,,Finnland,169,082,217,49,
101,O28,Leksosero,Лексозеро,Russland,166,141,34,85,
102,N36,Koitere,,Finnland,164,11,465,67,
103,N37,Iisvesi-Rasvanki-Virmasvesi,,Finnland,164,,345,,
104,N38,Stora Lulevatten,,Schweden,163,131,285,8,
105,N39,Kallsjön,,Schweden,159,614,134,39,
106,N40,Juurusvesi–Akonvesi,,Finnland,157,13,62,83,
107,W07,Étang de Berre,"estanh de Bèrra, mar de Bèrra",Frankreich,155,09,,58,
108,N41,Pyhäjärvi,,Finnland,155,085,26,55,In Satakunta / Varsinais-Suomi
109,N42,Kivijärvi,,Finnland,154,129,438,84,
110,O29,Eltonsee,Эльтон,Russland,150,006,06,04,
111,,Porttipahta-Stausee,Porttipahdan tekojärvi,Finnland,149,066,,44,Kitinen
112,O30,Jalpuhsee,Озеро Ялпуг,Ukraine,149,038,6,26,Größter natürlicher See der Ukraine
113,N43,Åsnen,,Schweden,148,046,173,31,
114,S07,Comer See,Lago di Como,Italien,146,234,425,160,
115,N44,Ströms Vattudal,,Schweden,146,26,73,178,
116,N45,Lappajärvi,,Finnland,145,101,360,69,Liegt in einem Einschlagkrater
117,N46,Suontee,,Finnland,143,07,436,49,
118,O31,Nischneje Kuito,"Нижнее Куйто, Ala-Kuittijärvi",Russland,141,133,33,94,
119,N47,Randsfjord,Randsfjorden,Norwegen,139,731,120,526,
120,N48,Tyrifjord,Tyrifjorden,Norwegen,138,1313,330,948,
121,N49,Stora Le und Foxen,Stora Le och Foxen,Schweden,136,,,,
122,N50,Viinijärvi,,Finnland,135,079,583,58,
,,Dellen,,Schweden,134,271,,202,2 Teilseen: Süd-Dellen 52 km² und Nord-Dellen 82 km²
123,N52,Längelmävesi,,Finnland,133,091,593,68,
124,N53,Skagern,,Schweden,132,322,77,252,
125,N54,Sommen,,Schweden,130,221,53,17,
126,N55,Kyyvesi,,Finnland,130,057,352,44,
127,S08,Trasimenischer See,Lago Trasimeno,Italien,128,058,6,45,
128,,Theiß-See,"Kisköre Reservoir, Tisza-tó, Kiskörei-víztározó",Ungarn,127,017,17,13,Theiß
129,,Oskilsker Stausee,"Оскільське водосховище, Оскольское водохранилище",Ukraine,123,047,19,38,Oskol
130,N56,Pyhäjärvi,,Finnland,122,077,27,63,In Nordösterbotten
131,N57,Pyhäjärvi,,Finnland,122,067,46,55,In Pirkanmaa
132,O32,Engosero,Энгозеро,Russland,122,055,18,45,
133,O33,Kolwizkoje,Колвицкое озеро,Russland,121,145,20,12,
134,N58,Snåsavatnet,,Norwegen,120,55,121,46,
135,N59,Vanajavesi,,Finnland,119,095,239,8,
136,N60,Lough Derg,Loch Deirgeirt,Irland,118,089,36,76,
137,N61,Keurusselkä,,Finnland,117,054,41,46,
138,O34,Baskuntschak,Баскунчак,Russland,115,035,,3,
139,S09,Bolsenasee,Lago di Bolsena,Italien,114,92,151,81,
140,O35,Śniardwy,Spirdingsee,Polen,114,066,234,58,Größter in Polen
141,W09,Vierwaldstättersee,,Schweiz,114,118,214,104,
142,N62,Onkivesi,,Finnland,114,036,365,32,
143,W08,Müritz,(Die) Müritz,Deutschland,113,074,31,65,Größter innerhalb von Deutschland
144,N63,Virihaure,,Schweden,112,443,138,394,
145,N64,Mallasvesi–Roine,,Finnland,110,079,38,71,2 Teilseen
146,N65,Pielavesi,,Finnland,110,,29,,
