Name,Coordinates,Length (km)[note 1],Approval Date,Source of name,Ref
Uvs Lacus,69°36′N 245°42′W﻿ / ﻿69.6°N 245.7°W,26.9,16 September 2010,"Uvs Lake, Mongolia",WGPSN
Vänern Lacus,70°24′N 223°06′W﻿ / ﻿70.4°N 223.1°W,43.9,16 September 2010,"Vänern, Sweden",WGPSN
Van Lacus,74°12′N 137°18′W﻿ / ﻿74.2°N 137.3°W,32.7,6 June 2017,"Lake Van, Turkey",WGPSN
Viedma Lacus,72°00′N 125°42′W﻿ / ﻿72°N 125.7°W,42.0,6 June 2017,"Viedma Lake, Argentina",WGPSN
Waikare Lacus,81°36′N 126°00′W﻿ / ﻿81.6°N 126.0°W,52.5,27 September 2007,"Lake Waikare, New Zealand",WGPSN
Weija Lacus,68°46′N 327°41′W﻿ / ﻿68.77°N 327.68°W,12.0,12 March 2020,"Lake Weija, Ghana",WGPSN
Winnipeg Lacus,78°03′N 153°19′W﻿ / ﻿78.05°N 153.31°W,60.0,26 February 2018,"Lake Winnipeg, Canada",WGPSN
Xolotlán Lacus,82°18′N 72°54′W﻿ / ﻿82.3°N 72.9°W,57.4,7 August 2017,"Lake Xolotlán, Nicaragua",WGPSN
Yessey Lacus,73°00′N 110°48′W﻿ / ﻿73°N 110.8°W,24.5,26 June 2017,"Lake Yessey, Siberia, Russia",WGPSN
Yojoa Lacus,78°06′N 54°06′W﻿ / ﻿78.1°N 54.1°W,58.3,7 August 2017,"Lake Yojoa, Honduras",WGPSN
Ypoa Lacus,73°24′N 132°12′W﻿ / ﻿73.4°N 132.2°W,39.2,6 June 2017,"Lake Ypoá, Paraguay",WGPSN
Zaza Lacus,72°24′N 106°54′W﻿ / ﻿72.4°N 106.9°W,29.0,26 June 2017,"Zaza Reservoir, Cuba",WGPSN
Zub Lacus,71°42′N 102°36′W﻿ / ﻿71.7°N 102.6°W,19.5,7 August 2017,"Zub Lake, Antarctica",WGPSN
